Mountain-400-W Silver- 42,Bikes,Mountain Bikes,99201,129,129,129,150,2013-12-27,low performing,145,769,661
Mountain-400-W Silver- 46,Bikes,Mountain Bikes,106122,138,138,138,150,2013-12-24,mid range,145,769,707
Mountain-500 Black- 40,Bikes,Mountain Bikes,25920,48,48,48,150,2013-12-13,low performing,145,540,172
Mountain-500 Black- 42,Bikes,Mountain Bikes,26460,49,49,49,150,2013-12-25,low performing,145,540,176
Mountain-500 Black- 44,Bikes,Mountain Bikes,31320,58,58,58,150,2013-12-25,low performing,145,540,208
Mountain-500 Black- 48,Bikes,Mountain Bikes,30240,56,56,56,150,2013-12-26,low performing,145,540,201
Mountain-500 Black- 52,Bikes,Mountain Bikes,22140,41,41,41,150,2013-12-24,low performing,145,540,147
Mountain-500 Silver- 40,Bikes,Mountain Bikes,25425,45,45,45,150,2013-12-26,low performing,145,565,169
Mountain-500 Silver- 42,Bikes,Mountain Bikes,25425,45,45,45,150,2013-12-27,low performing,145,565,169
Mountain-500 Silver- 44,Bikes,Mountain Bikes,22035,39,39,39,150,2013-12-25,low performing,145,565,146
Mountain-500 Silver- 48,Bikes,Mountain Bikes,28250,50,50,50,150,2013-12-27,low performing,145,565,188
Mountain-500 Silver- 52,Bikes,Mountain Bikes,27120,48,48,48,150,2013-12-25,low performing,145,565,180
Patch Kit/8 Patches,Accessories,Tires and Tubes,6382,3191,3191,2950,150,2014-01-28,low performing,144,2,42
Racing Socks- L,Clothing,Socks,2430,270,270,269,150,2014-01-27,low performing,144,9,16
Racing Socks- M,Clothing,Socks,2682,298,298,295,150,2014-01-28,low performing,144,9,17
Road Bottle Cage,Accessories,Bottles and Cages,15408,1712,1712,1700,150,2014-01-25,low performing,144,9,102
Road Tire Tube,Accessories,Tires and Tubes,9504,2376,2376,2226,150,2014-01-28,low performing,144,4,63
Road-150 Red- 44,Bikes,Road Bikes,1005418,281,281,281,174,2011-12-28,high performing,169,3578,5778
Road-150 Red- 48,Bikes,Road Bikes,1205786,337,337,337,174,2011-12-28,high performing,169,3578,6929
Road-150 Red- 52,Bikes,Road Bikes,1080556,302,302,302,174,2011-12-27,high performing,169,3578,6210
Road-150 Red- 56,Bikes,Road Bikes,1055510,295,295,295,174,2011-12-27,high performing,169,3578,6066
Road-150 Red- 62,Bikes,Road Bikes,1202208,336,336,336,174,2011-12-28,high performing,169,3578,6909
Road-250 Black- 44,Bikes,Road Bikes,628384,271,271,266,150,2013-12-27,high performing,145,2318,4189
Road-250 Black- 48,Bikes,Road Bikes,691213,298,298,289,150,2013-12-28,high performing,145,2319,4608
Road-250 Black- 52,Bikes,Road Bikes,734425,319,319,312,150,2013-12-25,high performing,145,2302,4896
Road-250 Black- 58,Bikes,Road Bikes,622026,270,270,265,150,2013-12-26,high performing,145,2303,4146
Road-250 Red- 44,Bikes,Road Bikes,351792,144,144,144,162,2012-12-25,mid range,157,2443,2171
Road-250 Red- 48,Bikes,Road Bikes,395766,162,162,162,162,2012-12-24,mid range,157,2443,2443
Road-250 Red- 52,Bikes,Road Bikes,324919,133,133,133,162,2012-12-25,mid range,157,2443,2005
Road-250 Red- 58,Bikes,Road Bikes,702666,306,306,301,150,2013-12-27,high performing,145,2296,4684
Road-350-W Yellow- 40,Bikes,Road Bikes,418446,246,246,246,150,2013-12-27,mid range,145,1701,2789
Road-350-W Yellow- 42,Bikes,Road Bikes,399735,235,235,235,150,2013-12-27,mid range,145,1701,2664
Road-350-W Yellow- 44,Bikes,Road Bikes,367416,216,216,216,150,2013-12-27,mid range,145,1701,2449
Road-350-W Yellow- 48,Bikes,Road Bikes,394632,232,232,232,150,2013-12-25,mid range,145,1701,2630
Road-550-W Yellow- 38,Bikes,Road Bikes,293760,270,270,267,150,2013-12-26,mid range,145,1088,1958
Road-550-W Yellow- 40,Bikes,Road Bikes,289880,266,266,264,150,2013-12-28,mid range,145,1089,1932
Road-550-W Yellow- 42,Bikes,Road Bikes,334440,306,306,303,150,2013-12-26,mid range,145,1092,2229
Road-550-W Yellow- 44,Bikes,Road Bikes,312200,287,287,286,150,2013-12-27,mid range,145,1087,2081
Road-550-W Yellow- 48,Bikes,Road Bikes,283680,261,261,258,150,2013-12-27,mid range,145,1086,1891
Road-650 Black- 44,Bikes,Road Bikes,47565,63,63,63,162,2012-12-26,low performing,157,755,293
Road-650 Black- 48,Bikes,Road Bikes,45552,60,60,60,162,2012-12-25,low performing,157,759,281
Road-650 Black- 52,Bikes,Road Bikes,66915,89,89,89,162,2012-12-19,low performing,157,751,413
Road-650 Black- 58,Bikes,Road Bikes,57996,76,76,76,162,2012-12-18,low performing,157,763,358
Road-650 Black- 60,Bikes,Road Bikes,57156,76,76,76,162,2012-12-12,low performing,157,752,352
Road-650 Black- 62,Bikes,Road Bikes,49047,65,65,65,162,2012-12-18,low performing,157,754,302
Road-650 Red- 44,Bikes,Road Bikes,54528,72,72,72,162,2012-12-25,low performing,157,757,336
Road-650 Red- 48,Bikes,Road Bikes,66720,88,88,88,162,2012-12-27,low performing,157,758,411
Road-650 Red- 52,Bikes,Road Bikes,46083,61,61,61,162,2012-12-21,low performing,157,755,284
Road-650 Red- 58,Bikes,Road Bikes,56346,74,74,74,162,2012-12-18,low performing,157,761,347
Road-650 Red- 60,Bikes,Road Bikes,40071,53,53,53,162,2012-12-23,low performing,157,756,247
Road-650 Red- 62,Bikes,Road Bikes,57381,75,75,75,162,2012-12-05,low performing,157,765,354
Road-750 Black- 44,Bikes,Road Bikes,194400,360,360,360,150,2013-12-28,mid range,145,540,1296
Road-750 Black- 48,Bikes,Road Bikes,196020,363,363,363,150,2013-12-28,mid range,145,540,1306
Road-750 Black- 52,Bikes,Road Bikes,208440,386,386,386,150,2013-12-28,mid range,145,540,1389
Road-750 Black- 58,Bikes,Road Bikes,180360,334,334,334,150,2013-12-28,mid range,145,540,1202
Short-Sleeve Classic Jersey- L,Clothing,Jerseys,20196,374,374,372,150,2014-01-26,low performing,144,54,134
Short-Sleeve Classic Jersey- M,Clothing,Jerseys,21978,407,407,404,150,2014-01-27,low performing,144,54,146
Short-Sleeve Classic Jersey- S,Clothing,Jerseys,21924,406,406,402,150,2014-01-28,low performing,144,54,146
Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,22086,409,409,405,150,2014-01-28,low performing,144,54,147
Sport-100 Helmet- Black,Accessories,Helmets,72975,2085,2085,2024,150,2014-01-28,low performing,144,35,486
Sport-100 Helmet- Blue,Accessories,Helmets,74410,2125,2126,2050,150,2014-01-28,low performing,144,35,496
Sport-100 Helmet- Red,Accessories,Helmets,78050,2230,2230,2147,150,2014-01-28,low performing,144,35,520
Touring Tire,Accessories,Tires and Tubes,27115,935,935,920,150,2014-01-25,low performing,144,29,180
Touring Tire Tube,Accessories,Tires and Tubes,7440,1488,1488,1411,150,2014-01-28,low performing,144,5,49
Touring-1000 Blue- 46,Bikes,Touring Bikes,421968,177,177,177,150,2013-12-23,mid range,145,2384,2813
Touring-1000 Blue- 50,Bikes,Touring Bikes,357600,150,150,150,150,2013-12-28,mid range,145,2384,2384
Touring-1000 Blue- 54,Bikes,Touring Bikes,381440,160,160,160,150,2013-12-27,mid range,145,2384,2542
Touring-1000 Blue- 60,Bikes,Touring Bikes,350448,147,147,147,150,2013-12-27,mid range,145,2384,2336
Touring-1000 Yellow- 46,Bikes,Touring Bikes,410048,172,172,170,150,2013-12-28,mid range,145,2384,2733
Touring-1000 Yellow- 50,Bikes,Touring Bikes,359984,151,151,150,150,2013-12-23,mid range,145,2384,2399
Touring-1000 Yellow- 54,Bikes,Touring Bikes,376672,158,158,158,150,2013-12-27,mid range,145,2384,2511
Touring-1000 Yellow- 60,Bikes,Touring Bikes,333760,140,140,140,150,2013-12-23,mid range,145,2384,2225
Touring-2000 Blue- 46,Bikes,Touring Bikes,117855,97,97,97,150,2013-12-27,mid range,145,1215,785
Touring-2000 Blue- 50,Bikes,Touring Bikes,128790,106,106,106,150,2013-12-27,mid range,145,1215,858
Touring-2000 Blue- 54,Bikes,Touring Bikes,106920,88,88,88,150,2013-12-28,mid range,145,1215,712
Touring-2000 Blue- 60,Bikes,Touring Bikes,98415,81,81,81,150,2013-12-28,low performing,145,1215,656
Touring-3000 Blue- 44,Bikes,Touring Bikes,39326,53,53,53,150,2013-12-28,low performing,145,742,262
Touring-3000 Blue- 50,Bikes,Touring Bikes,35616,48,48,48,150,2013-12-23,low performing,145,742,237
Touring-3000 Blue- 54,Bikes,Touring Bikes,40810,55,55,55,150,2013-12-17,low performing,145,742,272
Touring-3000 Blue- 58,Bikes,Touring Bikes,42294,57,57,57,150,2013-12-27,low performing,145,742,281
Touring-3000 Blue- 62,Bikes,Touring Bikes,47488,64,64,64,150,2013-12-23,low performing,145,742,316
Touring-3000 Yellow- 44,Bikes,Touring Bikes,43778,59,59,59,150,2013-12-28,low performing,145,742,291
Touring-3000 Yellow- 50,Bikes,Touring Bikes,43778,59,59,59,150,2013-12-27,low performing,145,742,291
Touring-3000 Yellow- 54,Bikes,Touring Bikes,35616,48,48,48,150,2013-12-09,low performing,145,742,237
Touring-3000 Yellow- 58,Bikes,Touring Bikes,34874,47,47,47,150,2013-12-27,low performing,145,742,232
Touring-3000 Yellow- 62,Bikes,Touring Bikes,37100,50,50,50,150,2013-12-26,low performing,145,742,247
Water Bottle - 30 oz.,Accessories,Bottles and Cages,21245,4244,4249,4073,150,2014-01-28,low performing,144,5,141
Women's Mountain Shorts- L,Clothing,Shorts,25410,363,363,363,150,2014-01-28,low performing,144,70,169
Women's Mountain Shorts- M,Clothing,Shorts,24640,352,352,352,150,2014-01-26,low performing,144,70,164
Women's Mountain Shorts- S,Clothing,Shorts,21280,304,304,304,150,2014-01-28,low performing,144,70,141
